"point","quantity","found","verdict"
1,"share of the 3-year IIH risk present at 1 year","1.53% of 2.54% = 60%","REVIEWER CORRECT - the excess is early, not late"
1,"share of the 3-year risk DIFFERENCE present at 1 year","1.32 pp of 2.05 pp = 64%","REVIEWER CORRECT"
2,"events within 3 years, latency clock (from index)","IIH 55, control 14","both tables are internally correct"
2,"events within 3 years, survival clock (from washout end)","IIH 59, control 15","REVIEWER CORRECT that they disagree - cause is a clock-origin mismatch, not an event-count error"
3,"comparator rate, engaged","15 events / 8413 py = 1.78 per 1,000",""
3,"comparator rate, not engaged","40 events / 12312 py = 3.25 per 1,000",""
3,"events within 1 year of index (prevalent-disease signature)","not engaged 21% (median 614 d); engaged 25% (median 584 d)","REVIEWER'S EXPLANATION NOT SUPPORTED - no early clustering"
3,"post-index encounters per comparator","engaged 41; not engaged 30","the excluded comparators are seen LESS often yet code seizures MORE often"
4,"measured baseline seizure prevalence ratio (pre-exclusion, same method as the controls)","IIH 0.31% vs control 0.38% = ratio 0.80","REVIEWER'S CONCERN REASONABLE BUT THE DIRECTION IS OPPOSITE - the ratio is below 1, not above"
4,"predicted detection-only HR","at ratio 1.00: 0.79 (0.28 to 2.24); at the measured ratio 0.80: 0.63 (0.21 to 1.91)","the calibration argument is unchanged; observed HR 5.58 sits far above either"
8,"IIH primary events carrying a post-washout G40/345 code","31 of 102 (30%)","THE PROTOCOL REQUIRES AN EPILEPSY-SPECIFIC CODE - 70% of IIH events do not have one"
8,"comparator primary events carrying a post-washout G40/345 code","64 of 64 (100%)",""
8,"prevalent cases whose only pre-index evidence is ICD-9","6 patients (IIH 2, control 4)","REVIEWER PARTLY CORRECT - the protocol lists ICD-9, but a few prevalent cases leaked through"
7,"HR restricted to IIH with opening pressure >= 25 cmH2O","5.55 (2.65 to 11.63); IIH 1376 (36 events), control 2124 (9 events)","ROBUST - essentially unchanged from the headline 5.58"
7,"opening pressure availability","1913 of 2618 IIH patients (73%), range 2-70","note the implausible low values; the minimum recorded is 2 cmH2O"
9,"death rate to 3 years","IIH 2.50 vs control 4.40 per 1,000 py; HR 0.56 (0.33 to 0.97)","REVIEWER CORRECT - IIH patients die less than their matched comparators; needs comment"
