"id","severity","finding","detail"
"A1","OK","Controls matched WITHOUT replacement","9,742 control rows have 9,742 distinct clinic numbers; no control is reused."
"B1","MAJOR","1:4 matching NOT achieved: mean 3.57 controls/case, only 66.4% of sets are full","Variable-ratio matching (0-4 controls). Any analysis that assumes a fixed 1:4 design is misspecified; matched-set stratification or match_set-clustered robust variance is required."
"B2","MAJOR","869 IIH cases (6.5%) could not be matched and are excluded from all comparative analyses","Selection is by matchability (BMI availability / index-year coverage), not at random."
"B3","MAJOR","Analytic counts do NOT reproduce protocol v2.0 section 6","Protocol reports 2,215 cases and 4,337 controls; this export contains 2732 matched cases and 9742 controls. The supplied file is a different (later) extract than the one behind the v2.0 result table. The v2.0 numbers must not be used as validation targets."
"C1","CRITICAL","2087 IIH cases have last_encounter_date AFTER the data-freeze date (max 2038-09-21)","Impossible dates up to 2038. Follow-up time derived from this field is inflated for the exposed cohort only, which biases the incidence-rate denominator and any full-follow-up model."
"C2","CRITICAL","Controls have NO date fields at all (last_encounter, first_encounter, death, DOB all blank)","Control follow-up exists only as the pre-computed followup_years column. Censoring for controls cannot be independently verified or recomputed, and the two cohorts' person-time were therefore not demonstrably derived by the same rule."
"C3","MINOR","20 cases have index dates before 2000 (min 1990)","Consistent with protocol v2.0 (1990-2025 window), but pre-2000 EHR capture is thin."
"C4","MODERATE","1 seizure_date before index; 57 seizure_dates on patients not flagged incident","Dates carry prevalent/presenting events; seizure_date alone must not define the outcome."
"D1","CRITICAL","Supplied `status` never codes death in cases: 91 IIH cases have died_fu=1 but 0 have status=2","Death is coded as a competing event (status=2) in 144 controls and in ZERO cases. Using `status` as supplied would treat exposed deaths as censored and unexposed deaths as competing events -- a differential, exposure-dependent misclassification. status is rebuilt from died_fu/death_date in 05."
"E1","MAJOR","Follow-up is markedly longer in cases (median 4.75 y) than controls (median 3.42 y)","Longer exposed follow-up plus outcome ascertainment that depends on clinical contact is the classic differential-surveillance pattern. This is why the protocol's truncated (3-year) primary estimand is the right choice, and why full-follow-up rate ratios are the least trustworthy."
"F1","CRITICAL","37 variables are extracted for one cohort only","All imaging (empty_sella, sinus_sten, skullbase_thin, enceph_*), all EEG variables, seizure_ever and presenting_seizure are blank in every control; race/ethnicity, DOB and all date fields are blank in every case. These are STRUCTURALLY absent, not missing at random, and must never be imputed."
"F2","CRITICAL","Race was matched on but is unverifiable","race is recorded for 9,741/9,742 controls and 0/3,601 cases; the protocol's 'exact where recorded' race match cannot be checked in this file."
"F3","MAJOR","smoking uses different encodings in the two cohorts (text in cases, 0/1/2 in controls)","Harmonised in 01, but the differing provenance means smoking is not safely comparable across cohorts and is not used for adjustment."
"G1","CRITICAL","Encephalocele assessable in only 90/3601 cases (2.5%); 65 positive; 5 and 3 incident seizures in enceph+/enceph-","With 8 events across the assessable subgroup and ZERO imaging in controls, no mediation estimand (natural, interventional or separable) is identifiable. Protocol v2.0 correctly suspends this aim; the pipeline reports the 2x2 descriptively and stops there."
"H1","MAJOR","Opening pressure is recorded for 2517/3601 cases (70%) and is <25 cmH2O in 726 (29% of measured)","Cases are ICD-code identified without Friedman adjudication (protocol v2.0 change #1). Nearly a third of measured pressures fall below the diagnostic threshold, so the exposure is 'coded as IIH', not verified IIH. Non-differential exposure misclassification of this size attenuates the HR."
"H2","MAJOR","No severity (mild/moderate/severe), Frisen grade, perimetry, fulminant flag, symptom-onset interval, or ASM/treatment start-stop dates exist in this file","The v1.0 cumulative-burden gradient, the time-varying treatment analysis, the marginal structural model and the acetazolamide-only sensitivity analysis are ALL unimplementable. A crude proxy (shunt/stent/opening pressure) is reported as exploratory only."
"H3","MAJOR","No validation sample and no double-read/adjudication overlap exist in this file","Algorithm PPV/sensitivity, the two-phase design correction, Cohen's kappa for IIH adjudication and imaging-reader kappa cannot be computed. Protocol v2.0 limitation 7 applies: the algorithm's PPV is unknown. Bias-analysis under assumed misclassification is provided instead."
"I1","MAJOR","Post-index encounters: case median 81 vs control median 17","Detection opportunity differs by exposure. Per protocol section 5.3 this is adjusted for only as a CONSERVATIVE BOUND (it is a post-exposure mediator/collider), never as the primary estimate. The negative-control outcome is the real test of whether contact alone drives the result."
"J1","MODERATE","carpal_incident is missing for 1418 controls (all male) and GERD was never extracted","The negative-control analysis is restricted to female pairs (protocol v2.0 section 4.3)."
