"analysis","status","n","events","estimate","p","note"
"Cox, 3 y, symmetric 180-day landmark (CORRECTED PRIMARY)","PROTOCOL-DERIVED",12204,112,"3.42 (2.37 to 4.94)","<0.001","Both arms enter at day 180. This is the only specification in which the outcome-eligibility window is identical in the two cohorts, and it is the estimate that should be reported."
"Cox, 3 y, no landmark (protocol as written)","PRE-SPECIFIED",12474,126,"2.75 (1.94 to 3.90)","<0.001","Asymmetric outcome window; biased toward the null. Retained for comparison."
"Landmark: excluding events before 6 months","PRE-SPECIFIED",12199,112,"3.42 (2.37 to 4.94)","<0.001","Probes reverse causation and diagnostic-workup detection."
"Landmark: excluding events before 12 months","PRE-SPECIFIED",11793,69,"2.29 (1.42 to 3.71)","<0.001","Probes reverse causation and diagnostic-workup detection."
"Landmark: excluding events before 24 months","PRE-SPECIFIED",9593,21,"2.88 (1.23 to 6.75)","0.015","Probes reverse causation and diagnostic-workup detection."
"Restricted to female sets","PRE-SPECIFIED",10442,92,"2.93 (1.95 to 4.41)","<0.001",""
"Restricted to male sets","PRE-SPECIFIED",1762,20,"7.21 (3.00 to 17.32)","<0.001","Male matching used no calendar-year constraint (v2.0 change #6)."
"Excluding PNES-coded participants","PRE-SPECIFIED",12149,107,"3.74 (2.56 to 5.46)","<0.001","pnes_ever is recorded for controls only; the exclusion is one-sided in this export."
"Stricter outcome (criterion 1: two codes >=30 d apart, only)","PRE-SPECIFIED",NA,NA,"NOT ESTIMABLE",NA,"outcome_criterion is recorded for controls only. Applying it would drop control events while retaining every case event and would inflate the hazard ratio by construction. Requires the criterion flag to be extracted for cases before this analysis can be run."
"Adjusted for post-index encounters (CONSERVATIVE BOUND ONLY)","PRE-SPECIFIED",12177,112,"1.54 (0.98 to 2.40)","0.059","Mediator adjustment. NOT a valid causal estimate; a lower bound on the association."
"Controls restricted to top quartile of post-index encounters","PRE-SPECIFIED",5096,80,"2.11 (1.31 to 3.41)","0.002","Controls with >= 38 post-index encounters. Design-stage analogue of the above."
"Adjusted for pre-index encounters (legitimate confounder)","PROTOCOL-DERIVED",12192,111,"4.21 (2.69 to 6.59)","<0.001","enc_pre12 is measured BEFORE index and is a genuine confounder; this adjustment is causally valid."
"Stratified by matched set","PRE-SPECIFIED",12203,112,"3.91 (2.65 to 5.77)","<0.001","Conditional estimand; matched sets with no event contribute no information."
"IPTW on the propensity score","PRE-SPECIFIED",12204,112,"3.45 (2.39 to 4.98)","<0.001","Marginal estimand."
"Full follow-up (no truncation)","PRE-SPECIFIED",12204,171,"4.26 (3.15 to 5.76)","<0.001","PH violated (p=0.031) and case person-time includes impossible dates. Least reliable."
"5-year truncation","PRE-SPECIFIED",12204,142,"3.75 (2.70 to 5.19)","<0.001",""
"Full-ratio sets only (1:4 complete)","POST HOC",8896,88,"3.40 (2.25 to 5.14)","<0.001","Tests whether variable-ratio matching distorts the estimate."
"Index year >= 2010","POST HOC",11859,107,"3.35 (2.31 to 4.87)","<0.001","Restricts to the period of consistent electronic capture and coding."
